n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios,counts
512,4096,0.9,0.3,0.0010716915130615234,True,134,-10,275,183,2,"[0.6, 0.4]","[275, 183]"
512,4096,0.9,0.3,0.0010585784912109375,True,141,-10,321,137,2,"[0.7, 0.3]","[321, 137]"
512,4096,0.9,0.3,0.0010383129119873047,True,166,-10,367,91,2,"[0.8, 0.2]","[367, 91]"
512,4096,0.9,0.3,0.0012459754943847656,True,125,-10,114,114,4,"[0.25, 0.25, 0.25, 0.25]","[114, 114, 114, 114]"
512,4096,0.9,0.3,0.0016074180603027344,True,128,-10,72,76,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[72, 76, 76, 70, 69, 74, 76, 69]"
512,4096,0.9,0.3,0.002262592315673828,True,142,-10,36,34,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[36, 34, 39, 40, 38, 38, 38, 35, 38, 38, 41, 40, 35, 39, 35, 35]"
512,4096,0.9,0.4,0.0008559226989746094,True,66,-10,159,159,2,"[0.5, 0.5]","[159, 159]"
512,4096,0.9,0.4,0.0008635520935058594,True,68,-10,191,127,2,"[0.6, 0.4]","[191, 127]"
512,4096,0.9,0.4,0.0008306503295898438,True,59,-10,223,95,2,"[0.7, 0.3]","[223, 95]"
512,4096,0.9,0.4,0.0008151531219482422,True,68,-10,255,63,2,"[0.8, 0.2]","[255, 63]"
512,4096,0.9,0.4,0.0010154247283935547,True,44,-10,79,79,4,"[0.25, 0.25, 0.25, 0.25]","[79, 79, 79, 79]"
512,4096,0.9,0.4,0.0013854503631591797,True,62,-10,53,53,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[53, 53, 53, 53, 53, 53, 53, 53]"
512,4096,0.9,0.4,0.0019881725311279297,True,75,-10,33,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 32]"
512,4096,0.9,0.5,0.0007092952728271484,True,22,-10,120,120,2,"[0.5, 0.5]","[120, 120]"
512,4096,0.9,0.5,0.0007026195526123047,True,24,-10,144,95,2,"[0.6, 0.4]","[144, 95]"
512,4096,0.9,0.5,0.0007038116455078125,True,30,-10,168,71,2,"[0.7, 0.3]","[168, 71]"
512,4096,0.9,0.5,0.0006968975067138672,True,26,-10,192,47,2,"[0.8, 0.2]","[192, 47]"
512,4096,0.9,0.5,0.0008776187896728516,True,14,-10,60,60,4,"[0.25, 0.25, 0.25, 0.25]","[60, 60, 60, 60]"
512,4096,0.9,0.5,0.0012021064758300781,True,27,-10,40,40,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[40, 40, 40, 40, 40, 40, 40, 40]"
512,4096,0.9,0.5,0.0017631053924560547,True,24,-10,25,25,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]"
512,4096,0.9,0.6,0.0006084442138671875,True,11,-10,95,95,2,"[0.5, 0.5]","[95, 95]"
512,4096,0.9,0.6,0.0006093978881835938,True,10,-10,114,76,2,"[0.6, 0.4]","[114, 76]"
