n,m,dim,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
2048,4096,8,0.9,0.92,4.458427429199219e-05,True,1726,0,87,75
2048,4096,8,0.9,0.94,4.458427429199219e-05,True,1714,0,85,72
2048,4096,8,0.9,0.96,4.267692565917969e-05,True,1703,0,81,72
2048,4096,8,0.9,0.98,5.459785461425781e-05,True,1633,0,76,73
2048,4096,16,0.9,0.9,5.7220458984375e-05,True,1925,0,71,86
2048,4096,16,0.9,0.92,4.6253204345703125e-05,True,1843,0,65,88
2048,4096,16,0.9,0.94,4.2438507080078125e-05,True,1845,0,64,84
2048,4096,16,0.9,0.96,4.00543212890625e-05,True,1860,0,73,71
2048,4096,16,0.9,0.98,6.628036499023438e-05,True,1833,0,74,66
2048,4096,32,0.9,0.9,3.9577484130859375e-05,True,1935,0,71,82
2048,4096,32,0.9,0.92,5.602836608886719e-05,True,1964,0,75,73
2048,4096,32,0.9,0.94,4.291534423828125e-05,True,1914,0,64,80
2048,4096,32,0.9,0.96,3.933906555175781e-05,True,1953,0,62,78
2048,4096,32,0.9,0.98,4.0531158447265625e-05,True,1953,0,72,64
4096,512,4,0.9,0.9,4.124641418457031e-05,True,179,0,103,82
4096,512,4,0.9,0.92,4.0531158447265625e-05,True,182,0,88,92
4096,512,4,0.9,0.94,3.9577484130859375e-05,True,170,0,93,82
4096,512,4,0.9,0.96,4.100799560546875e-05,True,184,0,82,88
4096,512,4,0.9,0.98,3.981590270996094e-05,True,150,0,77,88
4096,512,8,0.9,0.9,4.2438507080078125e-05,True,232,0,76,91
4096,512,8,0.9,0.92,5.7697296142578125e-05,True,213,0,88,74
4096,512,8,0.9,0.94,4.0531158447265625e-05,True,239,0,80,77
4096,512,8,0.9,0.96,3.838539123535156e-05,True,219,0,83,70
4096,512,8,0.9,0.98,4.9591064453125e-05,True,185,0,80,69
4096,512,16,0.9,0.9,4.0531158447265625e-05,True,222,0,73,84
4096,512,16,0.9,0.92,3.9577484130859375e-05,True,228,0,72,81
